time,label,veg,prec,ag,ap,bg,bx,cbh,lap,nag,enzyme_c
T4,27RXX,Shrub,Ambient,0.004798019537216382,0.8078620552018596,1.170620809617358,0.44071742947189924,0.5954134842913406,0.17625299168256753,0.6698123208406318,1.3525950605219197
T4,32RXX,Shrub,Ambient,0.18500505162831252,0.7630937497744001,1.2573484198567575,0.8434590772107129,0.6251396176591888,0.2600364813394219,0.8264511100304919,1.4886818938406445
T4,35LRX,Shrub,Reduced,0.24959511273043739,0.9181483621229682,1.351422041838883,0.5001911812541525,0.7137229420731813,2.3104494456805744,0.4858295002967106,1.512867028912538
T4,45LRX,Shrub,Reduced,0.39140672999369847,1.2383138357446446,1.624081902810157,0.9061560333344078,1.0395565091283254,0.17461947743504178,0.9792658453377583,1.8031397468616883
T4,46RXX,Shrub,Ambient,-0.13810694094303985,0.7055739762806479,1.305162520284363,0.49468937050498674,0.7994770427968799,0.11771321377563113,0.7875802741169101,1.4820820366272214
T4,47RRX,Shrub,Reduced,0.1775674052316999,1.0390948067837982,1.4239691363315832,0.8814666892786646,0.9072828825888358,0.16502085221103324,0.9466585785311359,1.6408621359631403
T4,48LXX,Shrub,Ambient,3.309113716377348,0.8079773099108439,1.515224605686222,3.8201105625768443,0.747713428771121,0.16463448616623183,0.7224152829268033,3.9387466749229127
T4,4LXX,Grass,Ambient,0.530966867068179,1.4256884796217848,2.195462476560288,4.91669779230601,1.7734673902078402,1.1984857662923987,1.802022624677794,4.917851592931507
T4,5RRX,Grass,Reduced,0.22583111039447443,1.066473999869475,1.7042759153196019,0.9278274333988814,1.3426994250947504,0.7216641427394993,1.492717663958978,1.917923134839704
T4,7LRX,Grass,Reduced,0.36049861657580695,1.0954314157962923,1.7547934337527924,0.914199152780182,1.389568782875362,0.8488751750382768,1.5377668195322456,1.9632292506662754
T4,8LXX,Grass,Ambient,0.1974762030175653,0.6631574954007545,1.6461400425081996,0.7860614368979787,1.2587965485656034,0.7029508983537306,1.2029542913873268,1.8457536959439726
